,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,failed
1,reps,Sample 1,UrbanPopgen_Plate33_7-17-23_data.csv,26.89641953,31.8117733,NA,NA,0.411501604,0.546295991,NA,NA,2,2,0,0,3.352944896,0,0,0.298245283,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate33_7-17-23_data.csv,OS3 rex2,Dlab,Miami reef,Emerald Reef,22-Jun,Summer,Wet,0.770270467,0.229729533,0,0,A,,1,y
2,reps,Sample 2,UrbanPopgen_Plate33_7-17-23_data.csv,28.9783392,NA,32.68936921,21.25879002,0.507373871,NA,0.437286027,0.402283237,2,0,2,2,0,33.46699158,0.001581477,0,0,0,0.029880188,0,4.73E-05,632.32028,0,21161.85749,Sample 2_UrbanPopgen_Plate33_7-17-23_data.csv,OS4 rex2,Dlab,Miami reef,Emerald Reef,22-Jun,Summer,Wet,0.010751941,0,0.000445,0.988802731,D,AC,1,n
6,reps,Sample 6,UrbanPopgen_Plate33_7-17-23_data.csv,19.59187698,30.32913017,37.59487534,33.56417847,0.191366924,0.068845698,NA,NA,2,2,1,1,189.6674354,0,0,0.005272386,0,0,0,0,0,0,0,0,Sample 6_UrbanPopgen_Plate33_7-17-23_data.csv,urban_309,Dlab,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,0.994755266,0.005244734,0,0,A,B,1,n
7,reps,Sample 7,UrbanPopgen_Plate33_7-17-23_data.csv,34.8383131,29.66389084,36.58318902,33.98859787,4.655807931,0.316512719,0.166038353,NA,2,2,2,1,0.003076814,8.565353979,0,325.0115688,2783.839134,0,0.116749407,0.000359216,0,0,0,0,Sample 7_UrbanPopgen_Plate33_7-17-23_data.csv,urban_310,Dlab,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,0,0.999453658,0.000546,0,B,C,1,n
10,reps,Sample 10,UrbanPopgen_Plate34_7-17-23_data.csv,37.44640351,31.3714695,36.09320832,34.83739853,0.910571532,0.027955834,2.712147678,NA,2,2,2,1,0.001648239,1.000306255,0,606.7082027,606.89401,0,0.999693839,0.001647734,0,0,0,0,Sample 10_UrbanPopgen_Plate34_7-17-23_data.csv,urban_335,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,1,0,0,B,,1,n
11,reps,Sample 6,UrbanPopgen_Plate34_7-17-23_data.csv,34.21731949,39.38322449,NA,22.18538189,NA,NA,NA,0.196536483,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 6_UrbanPopgen_Plate34_7-17-23_data.csv,urban_331,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0,1,D,,1,n
12,reps,Sample 7,UrbanPopgen_Plate34_7-17-23_data.csv,38.16418457,NA,21.63506222,30.05470181,0.044102462,NA,0.062937043,0.837128127,2,0,2,2,0,2.70E-05,0.001206928,0,0,0,37006.35433,0,44.6639868,828.5501806,0,0.022389403,Sample 7_UrbanPopgen_Plate34_7-17-23_data.csv,urban_332,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0.978100905,0.021899095,C,D,1,n
13,reps,Sample 8,UrbanPopgen_Plate34_7-17-23_data.csv,37.65306282,NA,36.7776413,23.61781598,0.637014892,NA,NA,0.086720007,2,0,1,2,0,0,1.99E-05,0,0,0,0,0,0,50367.63413,0,0,Sample 8_UrbanPopgen_Plate34_7-17-23_data.csv,urban_333,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0,1,D,,1,n
14,reps,Sample 9,UrbanPopgen_Plate34_7-17-23_data.csv,36.82513809,39.1257782,36.96447754,23.79170704,3.043334242,NA,NA,0.039752907,2,1,1,2,0,0,3.98E-05,0,0,0,0,0,0,25152.14032,0,0,Sample 9_UrbanPopgen_Plate34_7-17-23_data.csv,urban_334,Dlab,Miami reef,Emerald Reef,23-Jul,Summer,Wet,0,0,0,1,D,,1,n
16,reps,Sample 11,UrbanPopgen_Plate43_1-18-24_data.csv,29.45652104,28.33535385,32.90904522,21.58693123,0.683095889,NA,1.350529334,0.11022109,2,1,2,2,0,27.97684051,0.001425267,0,0,0,0.03574385,0,5.09E-05,701.6230361,0,19629.19578,Sample 11_UrbanPopgen_Plate43_1-18-24_data.csv,urban_306,Dlab,Broward reef,FTL4,23-May,Spring,Dry,0.005867016,0,0.000678,0.993455297,D,AC,1,n
19,reps,Sample 3,UrbanPopgen_Plate87_4-3-24_data.csv,27.82961274,25.20619297,NA,NA,0.015121613,0.073861504,NA,NA,2,2,0,0,0.0180314,0,0,55.45881043,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate87_4-3-24_data.csv,OS3 rex2,Dlab,Miami reef,Emerald Reef,22-Jun,NA,NA,NA,NA,NA,NA,,,NA,n
111,reps,Sample 2,UrbanPopgen_Plate47_1-16-24_data.csv,NA,NA,NA,34.62078857,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate47_1-16-24_data.csv,Peanut_009,Dlab,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y
36,reps,Sample 8,UrbanPopgen_Plate55_1-24-24_data.csv,20.05517006,29.06326676,33.6101904,NA,0.125396648,0.680958206,2.63271604,NA,2,2,2,0,57.20905837,30757.64211,0,0.017479749,537.6358742,0,3.25E-05,0.001859995,0,0,0,0,Sample 8_UrbanPopgen_Plate55_1-24-24_data.csv,urban_455,Dlab,Miami urban,Miami Beach Marina,24-Jan,Winter,Dry,0.982820543,0.017179457,0,0,A,B,1,y
38,reps,Sample 3,UrbanPopgen_Plate61_3-24-24_data.csv,33.0208149,NA,NA,26.83075523,1.095421548,NA,NA,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate61_3-24-24_data.csv,urban_399,Dlab,Miami urban,Seaquarium,24-Jan,NA,NA,1,0,0,0,A,,1,y
48,reps,Sample 1,UrbanPopgen_Plate65_3-24-24_data.csv,34.17400837,NA,NA,NA,3.709978704,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate65_3-24-24_data.csv,urban_541,Dlab,Miami urban,Coral City Camera,24-Jan,NA,NA,0,0,0,0,,,0,y
49,reps,Sample 2,UrbanPopgen_Plate65_3-24-24_data.csv,NA,NA,NA,23.78527832,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate65_3-24-24_data.csv,urban_549,Dlab,Miami urban,Coral City Camera,24-Jan,NA,NA,0,0,0,0,,,0,y
50,reps,Sample 7,UrbanPopgen_Plate65_3-24-24_data.csv,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 7_UrbanPopgen_Plate65_3-24-24_data.csv,urban_476,Dlab,Miami urban,Coral City Camera,24-Jan,NA,NA,0,0,0,0,,,0,y
69,reps,Sample 1,UrbanPopgen_Plate79_3-30-24_data.csv,NA,NA,NA,24.83474922,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate79_3-30-24_data.csv,urban_670,Dlab,Palm Beach urban,Peanut Island,24-Jan,NA,NA,0,0,0,0,,,0,y
70,reps,Sample 2,UrbanPopgen_Plate79_3-30-24_data.csv,38.92765427,NA,NA,NA,0.376254693,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate79_3-30-24_data.csv,urban_671,Dlab,Palm Beach urban,Peanut Island,24-Jan,NA,NA,0,0,0,0,,,0,y
72,reps,Sample 7,UrbanPopgen_Plate79_3-30-24_data.csv,32.41714859,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 7_UrbanPopgen_Plate79_3-30-24_data.csv,urban_676,Dlab,Palm Beach urban,Peanut Island,24-Jan,NA,NA,0,0,0,0,,,0,y
73,reps,Sample 8,UrbanPopgen_Plate79_3-30-24_data.csv,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate79_3-30-24_data.csv,urban_677,Dlab,Palm Beach urban,Peanut Island,24-Jan,NA,NA,0,0,0,0,,,0,y
15,stdv,Sample 10,UrbanPopgen_Plate43_1-18-24_data.csv,29.53736019,34.1595974,33.49299622,20.64727688,0.261905238,2.33074365,0.460532205,0.195150024,2,2,2,2,2.736462732,39.65066012,0.000702582,0.365435271,14.48974973,0.000256748,0.025220261,0.069014305,1.77E-05,1423.321457,3894.866122,56435.63533,Sample 10_UrbanPopgen_Plate43_1-18-24_data.csv,urban_054,Dlab,Broward reef,FTL4,22-Aug,Summer,Wet,0.002980472,0,0.000178,0.996841845,D,AC,1,n
32,stdv,Sample 6,UrbanPopgen_Plate52_1-22-24_data.csv,38.59813309,35.3498497,NA,21.89802265,0.965878992,NA,NA,1.750224426,2,1,0,2,0,0,3.13E-06,0,0,0,0,0,0,319415.0878,0,0,Sample 6_UrbanPopgen_Plate52_1-22-24_data.csv,urban_374,Dlab,Miami urban,MacArthur North,24-Jan,Winter,Dry,0,0,0,0,,,0,y
33,stdv,Sample 7,UrbanPopgen_Plate52_1-22-24_data.csv,38.16387749,37.82138062,NA,25.04563332,0.360520768,NA,NA,1.554219326,2,1,0,2,0,0,3.75E-05,0,0,0,0,0,0,26675.1114,0,0,Sample 7_UrbanPopgen_Plate52_1-22-24_data.csv,urban_328,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,0,0,0,0,,,0,y
39,stdv,Sample 1,UrbanPopgen_Plate62_3-24-24_data.csv,33.11054612,38.6391182,NA,23.94830036,1.004446392,0.381708834,NA,2.209065365,2,2,0,2,5.128891595,0,0.000581792,0.194973901,0,0.000113434,0,0,0,1718.826555,8815.675069,0,Sample 1_UrbanPopgen_Plate62_3-24-24_data.csv,urban_547,Dlab,Miami urban,Coral City Camera,24-Jan,NA,NA,1,0,0,0,A,,1,y
47,stdv,Sample 8,UrbanPopgen_Plate64_3-24-24_data.csv,24.76453209,NA,NA,33.40597535,0.149414286,NA,NA,2.904671783,2,0,0,2,0,0,133.1105177,0,0,0,0,0,0,0.007512554,0,0,Sample 8_UrbanPopgen_Plate64_3-24-24_data.csv,urban_498,Dlab,Miami urban,Coral City Camera,24-Jan,NA,NA,1,0,0,0,A,,1,n
